key,result,repro version:gcc,repro version:llvm,compiler explorer snapshot,fit remove/reorder
b-1,successful,4.1.2-10.1 -O1,,https://godbolt.org/z/99EEfveeW,remove
b-2,successful,gcc 4.8.0-7 -O2; gcc 8-11 -O1;gcc 12 -O0,3.0.0-14.0.0 -O1,https://godbolt.org/z/83Tro3Gjd,remove
b-3,successful,8-12.0.1 -O2,,https://godbolt.org/z/M7x7fsenq,
b-4,successful,4.1-7.4 -O1; 8-12 -O0,3.0.0-14.0.0 -O1,https://godbolt.org/z/xasxT3z84,remove
b-4,successful,arm gcc 5.4 -O2,,https://godbolt.org/z/bP3aq6eYP,
b-5,successful,9-12.0.1 -O1,3.3-14.0.0 -O1,https://godbolt.org/z/YT3zxEW9j,remove
b-6,successful,4.1-12.0.1 -O1,3.0.0-14.0.0 -O1,https://godbolt.org/z/E9ofx9esM,remove
b-7,successful,4.4-12.0.1 -O1,3.0.0-14.0.0 -O1,https://godbolt.org/z/qTWYGsajc,remove
b-8/l-24,successful,4.5.3-7.1 -O2 8-12.0.1O1,10.0.0-14.0.0 -O1,https://godbolt.org/z/Ged7rf3Tb,remove
b-9,successful,4.1-12.0.1 -O1,3.0.0-14.0.0 -O1,https://godbolt.org/z/r63nf1jjG,remove
b-10,successful,4.1-12.0.1 -O1,3.0.0-14.0.0 -O1,https://godbolt.org/z/7KhcE6PzG,remove
b-11,successful,4.8.1-12.0.1 -O2,,https://godbolt.org/z/hYfnjn1W3,
b-12,successful,4.4-12.0.1 -O1,3.0.0-14.0.0-O1,https://godbolt.org/z/PzEWefaPE,remove
b-13,successful,6.1-11.2 -O2,,https://godbolt.org/z/r3eWavYa5,
b-14,successful,4.1-12.0.1 -O0,3.0.0-14.0.0 -O1,https://godbolt.org/z/6eW9aMdfK,introduce
b-15,successful,10.1-12.01 -O2,3.0.0-14.0.0 -O1,https://godbolt.org/z/7MhPrTaTa,no
b-16,successful,4.1-12.0.1 -O2,11.0.0-14.0.0 -O1,https://godbolt.org/z/17xe4z9vG,remove
b-20,successful,4.4.7 -O1,,https://godbolt.org/z/r3ePbT81n,
b-21/l-9,successful,4.1-12.0.1 -O1,3.0.0-14.0.0 -O1,https://godbolt.org/z/5n8c318PP,remove
b-22,successful,4.6-12.0.1 -O0,3.0-14.0.0 -O0,https://godbolt.org/z/Tsx3v8v8o,no
b-26,successful,arm all version -O0,arm all version -O0,https://godbolt.org/z/a1WKbT458,?
l-2,successful,,11.0.0-14.0.0 -O1,https://godbolt.org/z/EYrM3PTaT,remove
l-8,successful,,3.0-14.0.0 -O1,https://godbolt.org/z/96W3YGj4q,remove
l-11,successful,4.1.2-12.0.1 -O0,3.0.0-14.0.0 -O0,https://godbolt.org/z/zoGEx6bf5,
l-13,successful,4.1.2 -O0 9.1-12.0.1  -O,3.3 - 14.0.0   -O,https://godbolt.org/z/anz8qWd9j,remove
l-15,successful,4.4-12.0.1 -O1,3.0.0-14.0.0 -O1,https://godbolt.org/z/1hq17qT1b,remove
l-16,successful,4.1.2 -O2,,https://godbolt.org/z/PEzE6Eexn,
l-18,successful,4.1.2 -O0,3.0.0-14.0.0 -O0,https://godbolt.org/z/4rx1nvjah,memset
l-19,successful,4.3-4.9 -O2,,https://godbolt.org/z/4x9cM7h8T,reorder
l-23,successful,arm64 5.4-12.2 -O0,arm 10.0.0-15.0.0 -O0,https://godbolt.org/z/PPzKnPKEK,no
l-25,successful,7.3-8.3 -O0 -mindirect-branch=thunk,,https://godbolt.org/z/EbEv4eosd,
l-30,successful,4.1-12.0.1 -O1,3.0.0-14.0.0 -O1,https://godbolt.org/z/hn9fn9Pzv,remove
l-37,successful,4.1-12.0.1 -O2,3.0.0-14.0.0 -O1,https://godbolt.org/z/d9s8McjPE,remove
l-41,successful,4.1-12.0.1 -O1,3.7-14.0.0 -O1,https://godbolt.org/z/h9vTxKPY4,remove
l-43,successful,,3.0.0-14.0.0 -O1,https://godbolt.org/z/384e9KqEv,memset